NOM ÉTABLISSEMENT,CATÉGORIES,TAGS,ADRESSE,VILLE,CP,RÉGION,Pays,Accroche,Description,COVER IMG,Logo,Web,Facebook,Instagram,Contact,Téléphone,
Café pompier,Bars,,"7, Place Pierre Renaudel, Bordeaux, 33800",Bordeaux,33800,Nouvelle‑Aquitaine,France,,"Outre sa fonction de café, Le Café Pompier, géré par les étudiants de l’école des Beaux-Arts, propose des soirées artistiques, accueille des artistes émergents avec exposition et vente.",,https://data.strobomag.com/assets/businesses/cafe-pompier/main.jpg,,https://www.facebook.com/cafepompier.bordeaux,https://www.instagram.com/cafepompier/,cafepompier@gmail.com,556916528,
Ultra klubs,Clubs,,"22, Place André Meunier, Bordeaux, 33800",Bordeaux,33800,Nouvelle‑Aquitaine,France,,,,https://data.strobomag.com/assets/businesses/ultra-klubs/main.jpg,,https://www.facebook.com/ultraklubs/,https://www.instagram.com/ultra_klubs_33/?,contact@ultraklubs.com,644699393,
Centre LGBT rural Nord Gironde,Associations,,"Place Verdun, Saint-Denis-de-Pile, 33910",Saint-Denis-de-Pile,33910,Nouvelle‑Aquitaine,France,,,,https://data.strobomag.com/assets/businesses/centre-lgbt-rural-nord-gironde/main.jpg,https://www.helloasso.com/associations/centre-lgbt-rural-nord-gironde,https://www.facebook.com/profile.php?id=61555402396722&amp;ref=pl_edit_ig_profile_ac,https://www.instagram.com/centrelgbtruralnordgironde,centrelgbtrural@gmail.com,,
Plage de Montalivet,Visites & Tourisme,,"Vendays-Montalivet, 33930",Vendays-Montalivet,33930,Nouvelle‑Aquitaine,France,,Par la route longeant le camping Atlantic au sud du CHM.,,https://data.strobomag.com/assets/businesses/plage-de-montalivet/main.jpg,,,,,,
Plage de l'Horizon,Visites & Tourisme,,Lège-Cap-Ferret,Lège-Cap-Ferret,33950,Nouvelle‑Aquitaine,France,,"À l'entrée du Cap Ferret près du Stade des Dunes au niveau du panneau, prendre à droite l'entrée du stade. Se garer devant le stade, longer le stade à droite en suivant le chemin forestier vers le nord. La plage gay est située à la 3ème sortie à gauche près du blockhaus.",,https://data.strobomag.com/assets/businesses/plage-de-lhorizon/main.jpg,,,,,,
Aides Montpellier,Associations,,"17 Rue Boussairolles, Montpellier, 34000",Montpellier,34000,Occitanie,France,,"Permanence d'Accueil et de Dépistages Rapides du VIH et Hépatite C. Si tu as envie de faire un dépistage, besoin d'informations ou du matériel (capotes, gels, matos pour prods, ...), n'hésite pas à passer nous voir.",,https://data.strobomag.com/assets/businesses/aides-montpellier/main.jpg,https://www.aides.org,https://www.facebook.com/AssoAIDES.Montpellier/,,montpellier@aides.org,467340376,
D & J arc-en-ciel – Occitanie-Languedoc,Associations,,Montpellier,Montpellier,34000,Occitanie,France,,"Le groupe du Languedoc propose un accueil personnalisé, des activités conviviales, des activités spirituelles et, pour celles et ceux qui le souhaitent, des activités militantes, en lien avec les autres organisations LGBT ou chrétiennes de la région. Il tient ses membres informés des activités inter-régionales et nationales de l’association.",,https://data.strobomag.com/assets/businesses/d-j-arc-en-ciel-occitanie-languedoc/main.jpg,https://www.dj-arcenciel.org/articles/130021-occitanie-languedoc,,,languedoc@dj-arcenciel.org,651740431,
Fierté Montpellier pride,Associations,,"21, Boulevard Pasteur, Montpellier, 34000",Montpellier,34000,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/fierte-montpellier-pride/main.jpg,https://www.fiertemontpellierpride.com,https://www.facebook.com/FierteMontpellierPride/,https://www.instagram.com/fiertemontpellierpride/,contact@fiertemontpellierpride.com,467573683,
Le Refuge Montpellier - Délégation Hérault,Associations,,"875, Avenue Jean Mermoz, Montpellier, 34000",Montpellier,34000,Occitanie,France,,"Première délégation historique de l’Association, la délégation de l’Hérault ouvre ses portes en janvier 2003. Elle évolue activement autour des jeunes bénéficiaires grâce au soutien permanent des membres de l’équipe, bénévoles comme salariés. Ses 7 appartements peuvent accueillir jusqu’à 12 jeunes simultanément en parallèle de 4 places en nuitées hôtelières disponibles en cas de nécessité, notamment durant la période hivernale. Notre local d’accueil est ouvert la semaine afin que les jeunes viennent à notre rencontre pour échanger, créer du lien, et entreprendre diverses démarches. Nos 3 temps de permanences collectives rythment la vie hebdomadaire de la délégation avec des thématiques variées : jeux de société, débats, repas, visites culturelles, sorties et loisirs, dont l’objectif est de rompre l’isolement, favoriser l’accès à des activités et renforcer la cohésion de groupe. Les jeunes sont reçu hebdomadairement par notre travailleuse sociale qui les écoute, les aiguille et les accompagne pour l’ensemble de leurs démarches sociales, professionnelles, administratives, gestion du logement et du budget. Ils sont également suivis par nos partenaires du champs de l’insertion, Mission Local, Pôle Emploi, Accélaire 34, et bénéficient aussi de prestations auprès de nos partenaires associatifs dans le domaine de santé, prévention et bien-être. Du dimanche au jeudi, des bénévoles se relaient chaque soir pour passer un moment d’échange convivial et privilégié avec les jeunes tout en s’assurant du bon déroulement de la vie quotidienne en communauté lors de permanence de nuit sur notre dispositif d’hébergement. En supplément de l’accompagnement pluridisciplinaire des jeunes victimes d’homophobie, la délégation est particulièrement active auprès de l’Académie de Montpellier, de la PJJ 34 et d’acteurs locaux de la formation professionnelle (IFSI, IRTS…) et intervient régulièrement sur des ateliers de deux heures de prévention et de lutte contre l’homophobie et la transphobie — > Intervention en Milieu Scolaire, dans plusieurs établissements de Montpellier et de l’Hérault.",,https://data.strobomag.com/assets/businesses/le-refuge-montpellier-delegation-herault/main.jpg,https://www.le-refuge.org,,,montpellier@le-refuge.org,,
Les Mixeuses solidaires,Associations,,Montpellier,Montpellier,34000,Occitanie,France,,"Nous donnons de nos voix à travers le partage et l’amour de la musique contre toutes formes d'inégalités. Pour toutes celles et ceux qui ne sont pas indifférent.e.s aux violences faites aux femmes & aux lgbtq+, à la précarité, le racisme, la maladie, le handicap et bien d’autres causes que nous soutenons. Les Mixeuses Solidaires agissent concrètement pour récolter des fonds et soutenir des actions, nous donnons de nos voix à travers le partage et l’amour de la musique, rappelant que les femmes sont aussi les actrices de la lutte contre toutes formes d’inégalités. Un positionnement engagé et solidaire, un rassemblement festif autour de la musique. Le collectif réunit 17 DJs du Sud de la France : Miss Airie, Sin'Dee, Laura Vaï, Mellanie, Nikita, Miss Dess, Lolita, Zita Spagiari, Emeraldia Ayakashi, DJ Annouscka, Emilie DaDa, Yuki, Miss Emy, La Greta, NJ Deejay, Maevol & Manue G.",,https://data.strobomag.com/assets/businesses/les-mixeuses-solidaires/_xzOZlxILLs.jpg,https://www.youtube.com/channel/UCo7poflMEtoUSQ0tdQ7vzWg,https://www.facebook.com/lesmixeusessolidaires/,https://www.instagram.com/lesmixeusessolidaires/,esmixeusessolidaires@gmail.com,,
Los Valents,Associations,,"23 place du Nombre d’Or, 34000 Montpellier",Montpellier,34000,Occitanie,France,,Club de rugby gay-friendly de Montpellier,,https://data.strobomag.com/assets/businesses/los-valents/main.jpg,,https://www.facebook.com/losvalentsdemontpelhier,,losvalents@yahoo.fr,,
MartinE,Associations,,Montpellier,Montpellier,34000,Occitanie,France,,"Collectif queer et féministe basé à Montpellier ouvert à toutes et à tous (lesbienne, bi, gay, trans, sans-étiquette…)",,https://data.strobomag.com/assets/businesses/martine/main.jpg,,https://www.facebook.com/CollectifMartinEmtp/,,,,
Pride Montpellier,Associations,,"21, Boulevard Pasteur, Montpellier, 34000",Montpellier,34000,Occitanie,France,,Association organisatrice de la Marche des Fiertés de Montpellier,,https://data.strobomag.com/assets/businesses/pride-montpellier/X1osxn9t-Tj.jpg,https://www.fiertemontpellierpride.com,https://www.facebook.com/MontpellierPride/,,contact@fiertemontpellierpride.com,467573683,
Rando's Midi,Associations,,"21 bd Pasteur, 34000 Montpellier",Montpellier,34000,Occitanie,France,,"Si vous aimez la randonnée accessible, alors venez nous rejoindre pour de belles balades à travers la campagne du Gard, de l'Hérault, du Vaucluse, dans la bonne humeur et en toute convivialité. Nous sommes une association LGBT qui a pour but de favoriser les rencontres en toute convivialité dans le cadre de balades organisées principalement dans notre magnifique région.",,https://data.strobomag.com/assets/businesses/randos-midi/kVb-NxyjZWt.jpg,https://www.randosmidi.fr,,,contact@randosmidi.fr,667467793,
Soeurs de la Perpétuelle Indulgence - Couvent d'Oc,Associations,,Montpellier,Montpellier,34000,Occitanie,France,,"Association Loi 1901 de lutte contre l'homophobie, les discriminations, de sensibilisation aux mst, dans l'amour, la joie et les paillettes",,https://data.strobomag.com/assets/businesses/soeurs-de-la-perpetuelle-indulgence-couvent-doc/h9xeRa0LKRz.jpg,,,,spi.couventdoc@gmail.com,,
Café de la Mer,Bars,,"5 Place du Marché-aux-Fleurs, 34000 Montpellier",Montpellier,34000,Occitanie,France,,"Gay and lesbian mixed crowd Bar with full range of alcoholic beverages. Internet access. Outdoor seating, terrace or garden.",,0,,,,,33467607965,
HypnoBar,Bars,,"4, Rue des Trésoriers de la Bourse, Montpellier, 34000",Montpellier,34000,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/hypnobar/main.jpg,,https://www.facebook.com/profile.php?id=61553805501994,https://www.instagram.com/explore/locations/170024952859502/hypnobar/,hypnobar34@gmail.com,658988375,
Madrediosa,Bars,,"5, Rue Belmont, Montpellier, 34000",Montpellier,34000,Occitanie,France,,Bar LGBTQIA+ féministe (hétéro friendly),,https://data.strobomag.com/assets/businesses/madrediosa/main.jpg,,https://www.facebook.com/profile.php?id=61554787659273,https://www.instagram.com/madrediosa_bar/,madrediosa@orange.fr,,
Mercury bar,Bars,,"26, Rue des Écoles Laïques, Montpellier, 34000",Montpellier,34000,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/mercury-bar/main.jpg,,https://www.facebook.com/mercurybarmontpellier,,,,
Le Cubix,Bars,,"11, rue des Balances, Montpellier",Montpellier,34000,Occitanie,France,,Gay. Exclusively or almost exclusively gay men. Air conditioning. Bar with full range of alcoholic beverages.,,0,https://www.lecubix.fr,,,,33698345999,
Le Foch,Bars,,"3 rue Rebufy, Montpellier",Montpellier,34000,Occitanie,France,,Gay and lesbian mixed crowd Bar with full range of alcoholic beverages,,0,https://www.tinyurl.com/qdj85qw,,,,33467912730,
Le Heaven,Bars,,"1 rue Delpech, Montpellier",Montpellier,34000,Occitanie,France,,Gay and lesbian mixed crowd. Air conditioning. Bar with full range of alcoholic beverages.,,0,https://www.facebook.com/heaven.montpellier,https://www.facebook.com/heaven.montpellier,,,33467604418,
Up Montpellier,Bars,,"5, rue de Girone, Montpellier",Montpellier,34000,Occitanie,France,,Gay and lesbian mixed crowd. Air conditioning. Bar with full range of alcoholic beverages.,,0,,,,,33467634953,
Rex Club Gare,Boutiques,,"12 rue Boyer, Montpellier",Montpellier,34000,Occitanie,France,,"Gay. Exclusively or almost exclusively gay men. Air conditioning, Glory holes, Sling.",,0,,,,,33981178178,
Le Chantier,Cruising,,"25-27 rue J.J. Rousseau, Montpellier",Montpellier,34000,Occitanie,France,,"Sling, cabins, glory holes and labyrinths on 2 floors on 180 m²",,0,,,,,33467609198,
L5 by la voile,Restaurants,,"5, place Jean Jaurès, Montpellier",Montpellier,34000,Occitanie,France,,Gay and lesbian mixed crowd. Air conditioning. Bar with full range of alcoholic beverages. Meals. Extensive menu available.,,0,https://www.le5bylavoile.com,,,,33499667926,
Le Volodia,Restaurants,,"29, rue Jean Jacques Rousseau, Montpellier",Montpellier,34000,Occitanie,France,,"Super food, sexy waiters and good value for money.",,0,https://www.volodiarestaurant.com,,,,33499610917,
La Coquille,Restaurants,,"1 Plan du Palais, Montpellier",Montpellier,34000,Occitanie,France,,"Café-restaurant. Ouverture : 7h30-1h. Fermé le dimanche. Climatisation, bar complet, terrasse, repas avec menu varié.",,0,https://www.la-coquille-montpellier.fr,,,,33467604797,
One sauna,Saunas,,"1 rue de la victoire de la Marne, Montpellier, 34000",Montpellier,34000,Occitanie,France,,"Entrée gratuite 18/22 ans, -26 ans 8€. Équipements : wifi gratuit, douches, cabines de douches, casier avec cadenas, vestiaires",,https://data.strobomag.com/assets/businesses/one-sauna/main.jpg,https://www.one-sauna.com,https://www.facebook.com/OneSauna/,https://www.instagram.com/onesauna/,,499629614,
Angel,Associations,,"2 Place Pétrarque, Montpellier, 34062",Montpellier,34062,Occitanie,France,,"Cette association de jeunes 16-25 ans est un espace de parole libre pour toute personne découvrant son orientation sexuelle ou de genre. Des activités conviviales permettent d’échanger sur son expérience, ses questionnements; c’est un moyen pour chacun de construire ses propres repères. Cette association lutte également contre l’homophobie sous toutes ses formes et revendique l’égalité des droits des personnes LGBT, sans oublier la sensibilisation face aux IST.",,https://data.strobomag.com/assets/businesses/angel/pQvaNp8HpY9.jpg,https://www.angel34.fr,https://www.facebook.com/angel.montpellier,https://www.instagram.com/angel.montpellier/,contact@angel34.com,629661656,
SOS homophobie - délégation Languedoc-Roussillon,Associations,,"2, Place Pétrarque, Montpellier, 34062",Montpellier,34062,Occitanie,France,,"Association nationale qui lutte contre la lesbophobie, la gayphobie, la biphobie, la transphobie et l'intersexophobie et milite pour l'égalité des droits. Ligne d'écoute anonyme : 01 48 06 42 41.",,https://data.strobomag.com/assets/businesses/sos-homophobie-delegation-languedoc-roussillon/dwRc8as5wQm.jpg,https://www.sos-homophobie.org,https://www.facebook.com/SOShLanguedocRoussillon/,,sos-lr@sos-homophobie.org,148064241,
Coxx,Bars,,"5, Rue Jules Latreilhe, Montpellier, 34062",Montpellier,34062,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/coxx/main.jpg,,https://www.facebook.com/lecoxx34,https://www.instagram.com/coxx_montpellier,lecoxx.booking@gmail.com,681869170,
Les Bulles,Bars,,"10 bis, Rue du Plan d'Agde, Montpellier, 34062",Montpellier,34062,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/les-bulles/main.jpg,,https://www.facebook.com/lesbullesmontpellier/,https://www.instagram.com/lesbulles_montpellier/,,,
Antirouille,Clubs,,"12, Rue Anatole France, Montpellier, 34062",Montpellier,34062,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/antirouille/main.jpg,,https://www.facebook.com/AntirouilleMtp/,,florencehubert@aol.com,467065513,
Moom,Clubs,,"3, Rue Collot, Montpellier, 34062","Montpellier, 34062",34062,Occitanie,France,,Discothèque fréquentée par les LGBTQIA+,,https://data.strobomag.com/assets/businesses/moom/main.jpg,,https://www.facebook.com/leMoomClub/,,lemoommontpellier@live.fr,684963415,
Marvelous,Restaurants,,"3, Place Saint-Ravy, Montpellier, 34062",Montpellier,34062,Occitanie,France,,"Bar-restaurant gay et friendly. Salle voutée, salle longue à l'étage, terrasse ensoleillée et terrasse ombragée. Décor en clin d'œil au thème de l'univers des supers-héros.",,https://data.strobomag.com/assets/businesses/marvelous/main.jpg,,https://www.facebook.com/p/Restaurant-Le-marvelous-Montpellier-100054637952263/,,contact@lemarvelous.com,499611631,
Le Refuge,Associations,,"75, Place d'Acadie, Montpellier, 34064",Montpellier,34064,Occitanie,France,,Ligne jeunes LGBT+ : 06 31 59 69 50.,,https://data.strobomag.com/assets/businesses/le-refuge/main.jpg,https://www.le-refuge.org,https://www.facebook.com/FondationLeRefuge,https://www.instagram.com/lerefugeofficiel/,,153210776,
CeGIDD Montpellier,Santé & Prévention,,"265, Avenue des États du Languedoc, Montpellier, 34064",Montpellier,34064,Occitanie,France,,Sur RDV,,https://data.strobomag.com/assets/businesses/cegidd-montpellier/main.jpg,https://www.chu-montpellier.fr/fr/cegidd,,,,467336950,
Le Spot Montpellier,Santé & Prévention,,"16, Boulevard d'Orient, Montpellier, 34064",Montpellier,34064,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/le-spot-montpellier/main.png,,https://www.facebook.com/LeSpotMontpellier,https://www.instagram.com/lespotmontpellier,LeSpotMontpellier@aides.org,411283070,
Enipse Occitanie est,Associations,,"10 avenue de Lodève, Montpellier, 34070 ",Montpellier,34070,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/enipse-occitanie-est/main.jpg,,https://www.facebook.com/Enipseoccitanie,,,664279185,
Koncept sauna,Saunas,,"10 avenue de Lodève, Montpellier, 34070",Montpellier,34070,Occitanie,France,,"Équipements : wifi gratuit, fumoir intérieur, douches, cabines de douches, casier avec cadenas, vestiaires",,https://data.strobomag.com/assets/businesses/koncept-sauna/main.jpg,https://www.konceptsauna.fr,https://www.facebook.com/konceptsauna34,https://www.instagram.com/konceptsauna,konceptdirection@gmail.com,467582527,
Envie,Santé & Prévention,,"21, Rue du Professeur Jean Granier, Montpellier, 34071",Montpellier,34071,Occitanie,France,,"son équipe de salariés et ses intervenants proposent un accompagnement global et individualisé aux personnes vivant avec le VIH et/ou une hépatite, ainsi qu'un accompagnement des proches, sur le territoire de Montpellier.",,https://data.strobomag.com/assets/businesses/envie/main.jpg,https://www.asso-envie.fr,,,associationenvie@orange.fr,467042023,
Centre de santé sexuelle Ovalie - Montpellier,Santé & Prévention,,"1021, Avenue de Toulouse, Montpellier, 34071",Montpellier,34071,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-ovalie-montpellier/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467673220,
Centre de santé sexuelle Pergola-Petit Bard - Montpellier,Santé & Prévention,,"61, Rue Robert Fabre, Montpellier, 34087",Montpellier,34087,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-pergola-petit-bard-montpellier/main.jpg,,,,,,
Narval UM,Associations,,"163, rue Auguste Broussonnet, Montpellier, 34090",Montpellier,34090,Occitanie,France,,"Vise à améliorer la qualité de vie des étudiants et des personnels LGBT+ ou se sentant proche de ces sensibilités, à l'UM",,https://data.strobomag.com/assets/businesses/narval-um/main.jpg,,https://www.facebook.com/NarvalUM/,,contact@narval-um.fr,434432434,
Plage des Aresquiers,Visites & Tourisme,,"Frontignan, 34110",Frontignan,34110,Occitanie,France,,"Sur la plage, prendre à gauche et remonter vers l'est pendant 20 minutes.",,https://data.strobomag.com/assets/businesses/plage-des-aresquiers/main.jpg,,,,,,
Centre de santé sexuelle Pézenas,Santé & Prévention,,"22, Rue Henri Reboul, Pézenas, 34120",Pézénas,34120,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-pezenas/main.jpg,https://www.ch-beziers.fr/services/centre-de-planification-et-deducation-familiale-cpef,,,,640827783,
CeGIDD Sète,Santé & Prévention,,"17, Quai Louis Pasteur, Sète, 34200",Sète,34200,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/cegidd-sete/main.jpg,,,,,951682323,
Centre de santé sexuelle Sète,Santé & Prévention,,"Boulevard Camille Blanc, Sète, 34200",Sète,34200,Occitanie,France,,"À la Maison Médicale, à l'entrée de l'Hôpital",,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-sete/main.jpg,https://www.ch-bassindethau.fr/structures/contraception-planification-familiale,,,,467673920,
Centre de santé sexuelle Saint Martin - Montpellier,Santé & Prévention,,"1555, Chemin de Moulares, Les Matelles, 34270",Les Matelles,34270,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-saint-martin-montpellier/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467674620,
Plage du Grand Travers,Visites & Tourisme,,"Avenue de Carnon - Le Grand Travers, La Grande-Motte, 34280",La Grande-Motte,34280,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/plage-du-grand-travers/main.jpg,,,,,,
Look,Bars,,"2, Boulevard des Matelots, Agde, 34300",Agde,34300,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/look/main.jpg,,https://www.facebook.com/lelookbar34/,,le.look@free.fr,467263042,
Casa Nueva,Bars,,"2 Boulevard Des Matelots Port Nature 5 Boulevard de la joliette, 34300 Cap d'Agde",Cap-d'Agde,34300,Occitanie,France,,"Bar with full range of alcoholic beverages. Outdoor seating, terrace or garden. Meals. Extensive menu available.",,0,,,,,33467260815,
Le Look,Bars,,"2, Boulevard des Matelots, Cap-d'Agde",Cap-d'Agde,34300,Occitanie,France,,"Gay bar with a full range of alcoholic beverages, outdoor seating or terrace, and shows or other events. Exclusively or almost exclusively for gay men.",,0,,,,,33467263042,
Le Mangoustan,Bars,,"38 Quai de la Trinquette, Cap D'Agde",Cap-d'Agde,34300,Occitanie,France,,Gay. Exclusively or almost exclusively gay men. Bar with full range of alcoholic beverages.,,0,,,,,33467015948,
Centre de santé sexuelle Lunel,Santé & Prévention,,"84, Avenue de Mauguio, Lunel, 34400",Lunel,34400,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-lunel/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467877190,
Fiertés Béziers,Associations,,"2 rue Maître Gervais, 34500 Béziers",Béziers,34500,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/fiertes-beziers/main.jpg,,,https://www.instagram.com/marchedesfiertesbeziers,contact@fiertesbeziers.org,,
CeGIDD Béziers,Santé & Prévention,,"2 boulevard Ernest Perréal, Béziers, 34500",Béziers,34500,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/cegidd-beziers/main.jpg,https://www.ch-beziers.fr/services/cegidd-centre-gratuit-information-depistage-et-diagnostic,,,secretariat.cegidd@ch-beziers.fr,467357384,
Centre de santé sexuelle Béziers,Santé & Prévention,,"2, Rue Valentin Haüy, Béziers, 34500",Béziers,34500,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-beziers/main.jpg,https://www.ch-beziers.fr/services/centre-de-planification-et-deducation-familiale-cpef,,,,467357777,
Le Pam,Clubs,,"Parc D'issanka, Poussan",Poussan,34560,Occitanie,France,,"Shows on Fri and Sun. Open: Fri & Sat and before public holidays 23-6h, also Sun in July and August. Gay. Exclusively or almost exclusively gay men. Air conditioning. Bar with full range of alcoholic beverages. Outdoor seating, terrace or garden. Darkroom.",,0,,,,,33467787138,
CeGIDD Bédarieux,Santé & Prévention,,"2, Allée Noémie Berthomieu, Bédarieux, 34600",Bédarieux,34600,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/cegidd-bedarieux/main.jpg,https://www.ch-beziers.fr/services/cegidd-centre-gratuit-information-depistage-et-diagnostic,,,,467357384,
Centre de santé sexuelle Bédarieux,Santé & Prévention,,"88, Route de Clermont-l'Hérault, Bédarieux, 34600",Bédarieux,34600,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-bedarieux/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467674708,
Plage des Celles,Visites & Tourisme,,"Celles, 34700",Celles,34700,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/plage-des-celles/main.jpg,,,,,,
Plage de Maguelone,Visites & Tourisme,,"Villeneuve-lès-Maguelone, 34750",Villeneuve-lès-Maguelone,34750,Occitanie,France,,"A Palavas, prendre direction «cathédrale de Maguelone», se garer sur le dernier parking puis accéder a la plage à 500m à droite. ou Direction Palavas-les-Flots près de Montpellier puis Cathédrale de Maguelone par la petite route en allant vers l’ouest. La plage est à environ 800m du parking et est indiquée par un drapeau LGBT.",,https://data.strobomag.com/assets/businesses/plage-de-maguelone/main.jpg,,,,,,
Centre de santé sexuelle Mosson - Montpellier,Santé & Prévention,,"181, Avenue du Biterrois, Montpellier, 34790",Montepellier,34790,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-mosson-montpellier/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467675201,
Centre de santé sexuelle Clermont l'Hérault,Santé & Prévention,,"Place Jean Jaurès, Clermont-l'Hérault, 34800",Clermont-l'Hérault,34800,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-clermont-lherault/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467674400,
Centre de santé sexuelle Jacou,Santé & Prévention,,"2, Avenue Charles Cros, Jacou, 34830",Jacou,34830,Occitanie,France,,,,https://data.strobomag.com/assets/businesses/centre-de-sante-sexuelle-jacou/main.jpg,https://www.herault.fr/1142-sante-et-sexualite.htm,,,,467673160,
Loom,Associations,,"49, Rue du Faubourg Saint-Jaumes, Montpellier, 34967",Montpellier,34967,Occitanie,France,,"L’association Les Ours Occitanie Méditerranée ( L.O.O.M ) organise des rassemblements BEARS, des activités diversifiées et des événements culturels BEARS/LGBT.",,https://data.strobomag.com/assets/businesses/loom/main.jpg,https://www.helloasso.com/associations/association-les-ours-occitanie-mediterranee-loom,https://www.facebook.com/groups/1868760663424464,,contactloom34@gmail.com,767179100,
Aides Rennes,Associations,,"43 Rue Saint-Hélier, Rennes, 35000",Rennes,35000,Bretagne,France,,,,https://data.strobomag.com/assets/businesses/aides-rennes-1/main.jpg,https://www.aides.org,https://www.facebook.com/AIDESBretagne/,,rennes@aides.org,299300130,
Commune vision,Associations,,"Université Rennes 2, Place Recteur Henri Le Moal, Rennes",Rennes,35000,Bretagne,France,,Association étudiante de lutte pour les personnes LGBTI et la prévention face au VIH et aux IST,,https://data.strobomag.com/assets/businesses/commune-vision/main.jpg,https://www.twitter.com/CommuneVision,https://www.facebook.com/CommuneVision?fref=ts,https://www.instagram.com/communevision/?fbclid=IwAR3eagA7cdzrwtupUO6bKLby_iAjO960pmNvn8VuAuDQVvybFV3gMBQRns4,communevision@gmail.com,,
D & J arc-en-ciel – Bretagne-Rennes,Associations,,Rennes,Rennes,35000,Bretagne,France,,"David & Jonathan Rennes, ce sont des femmes et des hommes de tous horizons qui croient chacun à leur manière. On aime se retrouver pour échanger, débattre et défendre notre dignité d’homo et de croyant, mais toujours dans la convivialité.",,https://data.strobomag.com/assets/businesses/d-j-arc-en-ciel-bretagne-rennes/main.jpg,https://www.dj-arcenciel.org/articles/130038-bretagne-rennes,,,rennes@dj-arcenciel.org,,
Enipse Bretagne,Associations,,"5 avenue de Choiseul, Porte C, Rennes, 35000",Rennes,35000,Bretagne,France,,,,https://data.strobomag.com/assets/businesses/enipse-bretagne/main.jpg,https://www.enipse.fr,https://www.facebook.com/enipsebretagne,,,660529456,
Homosexualité et socialisme - Rennes-Bretagne,Associations,,Rennes,Rennes,35000,Bretagne,France,,,,https://data.strobomag.com/assets/businesses/homosexualite-et-socialisme-rennes-bretagne/main.jpg,https://www.hes.lgbt,https://www.facebook.com/HES35,,thibault.delinotte@hes.lgbt,,
Le Refuge Rennes - Délégation Bretagne,Associations,,"65, Avenue Aristide Briand, Rennes, 35000",Rennes,35000,Bretagne,France,,"La délégation Bretagne évolue activement autour des jeunes accompagnés et hébergés grâce au soutien permanent de l’équipe de bénévoles. Un local d’accueil de jour et une maison-relais permettent d’héberger et d’accompagner les jeunes et d’organiser les activités de la délégation. Diverses permanences à l’attention des jeunes accompagnés rythment la vie de la délégation (Sorties culturelles, ateliers cuisine, interventions de partenaires, jeux de société, balades dans la région…). Au-delà de ces moments de convivialité et de partage, les jeunes sont reçus une fois par semaine, dans un cadre individuel, afin de les écouter, de les aiguiller et de les accompagner pour l’ensemble de leurs démarches sociales, professionnelles et administratives. Des bénévoles se relaient aussi au sein du lieu d’hébergement, pendant la semaine, pour passer un moment d’échange convivial avec les jeunes tout en s’assurant du bon déroulement de la vie quotidienne en communauté.",,https://data.strobomag.com/assets/businesses/le-refuge-rennes-delegation-bretagne/main.jpg,https://www.le-refuge.org,https://www.facebook.com/LeRefugeIlleEtVilaine/,https://www.instagram.com/lerefugebretagne/,rennes@le-refuge.org,631596950,
Ouest trans,Associations,,"6, Cours des Alliés, Rennes, 35000",Rennes,35000,Bretagne,France,,association d'entraide et d'auto-support trans,,https://data.strobomag.com/assets/businesses/ouest-trans/main.jpg,https://www.ouesttrans.wixsite.com/ouesttrans,https://www.facebook.com/ouesttrans/,https://www.instagram.com/ouest.trans,ouesttrans@gmail.com,,
